ID,F1.1,F1.2,F1.3
110100118262,未知,广东,未知
110100118265,女,未知,80后
110100118669,未知,广东,未知
110100133065,男,未知,未知
110100135162,未知,上海,未知
110100135163,男,北京,未知
110100135560,女,北京,未知
110100135562,未知,北京,未知
110100135764,女,未知,未知
110100135767,未知,未知,未知
110100171021,男,北京,60后
110100171526,未知,北京,未知
110100173725,女,上海,未知
110100214160,未知,江西,未知
110100214261,未知,湖南,未知
110100214263,未知,江苏,未知
110100214268,未知,湖南,未知
110100214961,女,广东,未知
110100216329,未知,未知,未知
110100218568,未知,北京,未知
110100218569,女,福建,80后
110100218662,未知,北京,未知
110100218869,女,北京,未知
110100218963,未知,湖南,未知
110100233064,女,未知,未知
110100233069,未知,广东,未知
110100235564,未知,重庆,未知
110100273222,未知,辽宁,未知
110100273229,未知,北京,未知
110100273426,未知,山东,未知
110100273825,未知,上海,未知
110100316225,未知,山东,未知
110100316421,未知,上海,未知
110100316423,男,上海,70后
110100316824,未知,未知,未知
110100316920,未知,上海,未知
110100318867,未知,北京,未知
110100333066,男,北京,未知
110100333868,未知,广东,未知
110100335060,未知,广东,未知
110100335161,未知,未知,未知
110100335662,未知,福建,未知
110100335665,男,广东,未知
110100335769,未知,四川,未知
110100371225,未知,北京,未知
110100373124,女,陕西,未知
110100373323,男,北京,未知
110100373324,未知,北京,未知
110100373526,男,广东,90后
110100412420,女,未知,未知
110100416123,未知,上海,未知
110100416221,未知,广东,未知
110100416425,未知,北京,未知
110100418165,未知,湖北,未知
110100418369,未知,湖南,未知
110100433869,未知,北京,未知
110100435160,男,未知,未知
110100435463,未知,浙江,未知
110100435467,未知,上海,未知
110100435869,未知,上海,未知
110100471025,女,未知,未知
110100471223,未知,四川,未知
110100471225,未知,吉林,未知
110100473027,男,北京,未知
110100473524,男,未知,未知
110100473723,未知,北京,未知
110100473728,女,江苏,未知
110100512322,未知,福建,未知
110100512326,未知,重庆,未知
110100512625,男,北京,未知
110100512728,未知,湖北,未知
110100514160,未知,北京,未知
110100514164,未知,江苏,未知
110100514166,女,未知,未知
110100514169,男,浙江,未知
110100516026,未知,上海,未知
110100516222,未知,福建,未知
110100516323,女,上海,未知
110100516524,未知,上海,80后
110100516727,男,江苏,未知
110100516923,未知,北京,80后
110100516927,女,北京,未知
110100518068,女,北京,90后
110100518264,女,北京,未知
110100518265,未知,上海,未知
110100518665,未知,辽宁,未知
110100533768,未知,广东,未知
110100535060,女,上海,未知
110100535669,未知,上海,未知
110100535765,未知,天津,未知
110100535968,未知,宁夏,未知
110100571024,未知,广东,未知
110100571025,未知,北京,未知
110100573022,未知,北京,未知
110100573428,未知,北京,未知
110100573527,未知,上海,未知
110100612321,女,未知,未知
110100612826,未知,未知,未知
110100614162,未知,上海,未知
110100614260,未知,天津,未知
110100614366,未知,广东,未知
110100614963,未知,河北,未知
110100616528,女,浙江,未知
110100618264,未知,广东,未知
110100618563,未知,天津,未知
110100618567,未知,上海,未知
110100618863,女,未知,90后
110100618866,男,江苏,70后
110100633765,未知,上海,未知
110100633862,未知,辽宁,未知
110100635169,男,天津,未知
110100635261,未知,北京,未知
110100635661,未知,上海,未知
110100635662,女,北京,未知
110100635766,未知,辽宁,未知
110100673722,未知,北京,未知
110100712426,未知,上海,未知
110100712727,男,河南,70后
110100712925,未知,浙江,未知
110100716423,未知,上海,未知
110100718167,未知,辽宁,未知
110100718261,未知,上海,未知
110100718463,未知,北京,未知
110100733761,未知,上海,未知
110100733863,女,天津,80后
110100735067,未知,北京,未知
110100735363,男,广东,未知
110100735566,未知,上海,未知
110100735568,未知,北京,未知
110100773026,女,北京,未知
110100773229,未知,未知,未知
110100773324,未知,上海,未知
110100816124,未知,湖北,未知
110100816221,男,未知,未知
110100816329,未知,广东,未知
110100816527,女,上海,未知
110100816923,女,北京,未知
110100818061,未知,四川,未知
110100818564,女,上海,80后
110100818565,男,北京,未知
110100818662,未知,未知,未知
110100818965,未知,北京,未知
110100833064,未知,北京,未知
110100833863,未知,北京,未知
110100833868,未知,北京,未知
110100835563,女,未知,未知
110100835863,女,未知,未知
110100871523,未知,北京,未知
110100873726,未知,北京,未知
110100873822,男,上海,80后
110100873924,未知,上海,未知
110100873925,未知,陕西,未知
110100873926,未知,北京,未知
110100916925,未知,北京,未知
110100933064,未知,未知,未知
110100933861,未知,海南,未知
110100935065,女,北京,未知
110100935160,未知,天津,未知
110100935361,未知,广东,未知
110100935364,未知,四川,未知
110100935462,未知,北京,未知
110100935665,未知,北京,未知
110100935666,未知,陕西,未知
110100935964,未知,上海,未知
110100935966,未知,上海,未知
110100971224,女,广东,80后
110100971227,女,天津,未知
110100973127,女,上海,未知
110100973223,女,未知,70后
110100973325,未知,上海,未知
110100973623,未知,浙江,未知
110100973626,未知,广东,未知
110100973722,男,江苏,90后
110101012126,未知,福建,未知
110101012127,未知,未知,未知
110101012326,未知,上海,未知
110101012724,女,江苏,60后
110101012725,未知,北京,未知
110101012729,男,广东,未知
110101014163,男,广东,未知
110101014169,未知,四川,未知
110101014964,未知,北京,未知
110101016424,未知,江苏,未知
110101016425,未知,北京,未知
110101016528,未知,广东,未知
110101016824,未知,北京,未知
110101016826,未知,浙江,未知
110101018068,未知,上海,未知
110101018166,未知,未知,未知
110101018266,女,北京,70后
110101018269,未知,上海,未知
110101018565,男,浙江,未知
110101018666,未知,北京,未知
110101018760,未知,天津,未知
110101018762,女,北京,80后
110101018767,未知,北京,未知
110101018861,未知,北京,未知
110101018862,未知,上海,未知
110101018966,未知,上海,未知
110101035168,未知,湖南,未知
110101035260,未知,广东,未知
110101035367,未知,江苏,未知
110101071022,未知,北京,未知
110101071523,未知,未知,未知
110101073020,未知,广东,00后
110101073023,女,上海,60后
110101073129,未知,四川,80后
110101073221,未知,上海,未知
110101073325,男,北京,未知
110101073528,未知,北京,未知
110101073823,未知,北京,未知
110101073825,未知,广东,未知
110101073925,未知,浙江,未知
110101112421,女,浙江,未知
110101112526,女,广东,80后
110101112925,男,北京,未知
110101114263,未知,北京,未知
110101114268,未知,北京,未知
110101114362,未知,上海,未知
110101114365,未知,上海,未知
110101114961,未知,辽宁,未知
110101116023,未知,上海,未知
110101116426,未知,北京,未知
110101116626,未知,北京,未知
110101118364,未知,福建,未知
110101118462,未知,未知,未知
110101118767,男,未知,未知
110101118860,未知,广东,未知
110101133862,未知,未知,未知
110101133863,未知,云南,未知
110101135167,未知,江苏,未知
110101135461,未知,浙江,未知
110101135660,未知,上海,80后
110101135762,未知,上海,未知
110101135862,未知,江苏,未知
110101135965,未知,贵州,未知
110101173027,未知,广东,未知
110101173122,男,上海,未知
110101173321,未知,广东,未知
110101173324,男,未知,未知
110101173327,女,重庆,未知
110101173728,男,浙江,80后
110101173822,未知,辽宁,未知
110101210025,未知,北京,未知
110101210169,女,安徽,未知
110101210260,未知,江苏,未知
110101210262,未知,湖北,未知
110101210461,未知,江苏,未知
110101210462,未知,江苏,未知
110101210469,未知,北京,未知
110101210620,未知,广东,未知
110101210621,女,未知,未知
110101210722,未知,北京,未知
110101210926,未知,北京,未知
110101210967,未知,上海,未知
110101212129,未知,北京,未知
110101212165,未知,上海,未知
110101212225,女,江苏,60后
110101212324,未知,江苏,未知
110101212327,未知,四川,未知
110101212364,未知,广东,未知
110101212423,未知,山东,未知
110101212462,未知,湖北,未知
110101212561,女,广东,未知
110101212568,未知,北京,未知
110101212760,男,广东,未知
110101212820,未知,上海,未知
110101212921,男,北京,80后
110101212927,女,上海,未知
110101212928,未知,北京,未知
110101212961,未知,上海,未知
110101214060,未知,黑龙江,未知
110101214464,未知,上海,未知
110101214466,未知,上海,未知
110101214769,男,浙江,未知
110101214861,女,上海,未知
110101215320,未知,北京,80后
110101216027,未知,上海,未知
110101216163,未知,北京,未知
110101216425,未知,福建,未知
110101216521,未知,广东,未知
110101216522,女,黑龙江,90后
110101216524,男,北京,未知
110101216529,女,四川,80后
110101216628,女,上海,未知
110101217229,未知,北京,未知
110101217422,女,未知,未知
110101217621,未知,浙江,未知
110101217825,女,上海,未知
110101218660,未知,广东,未知
110101218664,未知,广东,未知
110101218668,未知,四川,未知
110101218766,未知,广东,未知
110101218863,未知,上海,未知
110101233068,未知,北京,未知
110101235060,未知,上海,未知
110101235165,未知,上海,未知
110101235269,女,未知,未知
110101235363,未知,北京,未知
110101235662,女,北京,未知
110101235761,未知,山东,未知
110101235962,未知,上海,未知
110101235965,女,北京,未知
110101235966,男,上海,80后
110101271227,未知,重庆,未知
110101273028,未知,上海,未知
110101273329,未知,陕西,未知
110101273429,未知,北京,未知
110101273529,未知,上海,未知
110101273620,未知,广东,未知
110101273722,未知,浙江,未知
110101273922,未知,广东,未知
110101312127,未知,上海,90后
110101312427,男,未知,未知
110101312428,未知,上海,未知
110101312724,未知,广东,未知
110101312728,男,北京,未知
110101312828,未知,北京,未知
110101314168,未知,上海,未知
110101314366,未知,广西,未知
110101314368,女,北京,70后
110101314469,未知,北京,未知
110101314964,未知,广东,未知
110101316220,未知,天津,未知
110101316229,未知,江苏,未知
110101316423,未知,河北,未知
110101316427,未知,黑龙江,80后
110101316627,女,上海,未知
110101316720,未知,陕西,未知
110101316729,男,上海,未知
110101316927,未知,北京,未知
110101318160,未知,江苏,未知
110101318163,未知,上海,未知
110101318266,未知,上海,未知
110101318465,未知,天津,未知
110101318665,未知,上海,未知
110101333767,未知,上海,未知
110101335266,未知,上海,未知
110101335269,女,上海,未知
110101335362,未知,浙江,未知
110101335462,男,北京,90后
110101335667,未知,广东,未知
110101335867,未知,天津,未知
110101335968,女,上海,80后
110101373028,未知,广东,未知
110101373220,未知,北京,未知
110101373225,未知,山东,未知
110101373227,男,广东,70后
110101373524,未知,北京,未知
110101373529,未知,北京,未知
110101373824,女,贵州,未知
110101410222,女,广东,未知
110101410323,未知,陕西,未知
110101410529,女,广东,未知
110101410726,未知,上海,未知
110101410826,男,上海,未知
110101410923,女,北京,未知
110101412525,未知,上海,未知
110101412527,未知,北京,未知
110101412620,未知,浙江,未知
110101412724,女,湖南,70后
110101412728,未知,江苏,未知
110101412929,未知,湖北,未知
110101414569,未知,北京,未知
110101416028,女,北京,未知
110101416126,未知,广东,未知
110101416320,未知,广东,80后
110101416621,女,广东,未知
110101416721,未知,北京,未知
110101416823,女,上海,80后
110101416924,未知,浙江,未知
110101416927,未知,广东,未知
110101418261,未知,上海,未知
110101418562,未知,江苏,未知
110101418567,未知,湖北,未知
110101418660,未知,上海,未知
110101418968,女,江西,未知
110101435069,未知,上海,未知
110101435464,未知,上海,未知
110101435960,男,浙江,80后
110101471028,未知,北京,未知
110101471220,未知,上海,未知
110101471522,未知,广东,未知
110101473121,未知,上海,未知
110101473124,未知,上海,未知
110101473127,未知,吉林,未知
110101473429,女,四川,未知
110101473723,未知,上海,未知
110101510262,未知,北京,未知
110101512120,未知,湖南,未知
110101512121,未知,天津,未知
110101512129,未知,广西,未知
110101512321,男,江西,未知
110101512325,未知,上海,60后
110101512727,未知,未知,未知
110101512927,未知,广东,未知
110101514162,未知,北京,未知
110101514165,未知,北京,未知
110101514562,未知,山东,未知
110101514861,未知,北京,未知
110101516029,女,上海,未知
110101516321,未知,河南,未知
110101516326,未知,北京,未知
110101516521,未知,广东,未知
110101516623,未知,未知,未知
110101516627,未知,上海,未知
110101516728,未知,四川,未知
110101516823,未知,重庆,未知
110101518268,女,北京,未知
110101518464,未知,上海,未知
110101518562,未知,上海,未知
110101518665,女,上海,未知
110101518767,未知,陕西,未知
110101518966,男,重庆,未知
110101533062,未知,广东,未知
110101533769,未知,上海,未知
110101533865,未知,北京,未知
110101535067,未知,广东,未知
110101535368,未知,浙江,未知
110101535567,未知,山东,未知
110101535662,男,上海,未知
110101535960,未知,浙江,未知
110101535969,女,江苏,90后
110101571222,未知,上海,未知
110101571227,男,上海,70后
110101571523,未知,北京,未知
110101571527,未知,北京,未知
110101573228,未知,江苏,未知
110101573520,未知,江西,未知
110101573629,女,上海,未知
110101573822,未知,北京,未知
110101573825,未知,北京,未知
110101573827,未知,上海,未知
110101573924,未知,江苏,未知
110101610020,未知,陕西,未知
110101610267,未知,北京,未知
110101610321,未知,广东,未知
110101610464,男,上海,70后
110101610529,未知,辽宁,未知
110101610623,未知,江苏,80后
110101610722,未知,北京,70后
110101610725,未知,北京,未知
110101610924,未知,湖北,未知
110101612223,男,四川,80后
110101612260,未知,四川,未知
110101612328,未知,四川,未知
110101612362,未知,浙江,未知
110101612364,女,贵州,未知
110101612421,未知,北京,未知
110101612424,女,浙江,未知
110101612425,未知,北京,未知
110101612427,男,陕西,未知
110101612464,未知,广东,未知
110101612622,未知,江苏,未知
110101612760,未知,上海,未知
110101612767,男,未知,未知
110101612962,未知,未知,未知
110101612966,女,浙江,未知
110101614127,未知,未知,未知
110101614364,女,浙江,90后
110101614761,未知,云南,未知
110101614762,未知,江苏,未知
110101615029,未知,四川,未知
110101615429,未知,北京,未知
110101615825,未知,上海,未知
110101615827,女,浙江,70后
110101616060,女,未知,未知
110101616063,女,上海,80后
110101616128,未知,北京,未知
110101616129,未知,上海,未知
110101616262,未知,上海,未知
110101616264,未知,山西,未知
110101616321,未知,湖北,未知
110101616329,女,江苏,90后
110101616464,女,北京,未知
110101616522,未知,北京,未知
110101616528,女,北京,80后
110101616563,未知,广东,未知
110101616565,未知,上海,未知
110101616663,女,未知,未知
110101616721,未知,上海,未知
110101616828,未知,上海,未知
110101617025,未知,上海,未知
110101617428,未知,北京,未知
110101617728,未知,浙江,未知
110101618167,未知,浙江,未知
110101618260,未知,江苏,未知
110101618267,未知,上海,未知
110101618269,未知,山东,未知
110101635063,未知,山东,未知
110101635265,未知,广东,未知
110101635269,未知,上海,未知
110101635362,女,上海,未知
110101635660,未知,未知,未知
110101635662,未知,浙江,未知
110101635666,未知,陕西,未知
110101635863,未知,上海,未知
110101635866,女,安徽,70后
110101635961,未知,广东,未知
110101673020,未知,浙江,未知
110101673026,男,浙江,80后
110101673127,未知,上海,未知
110101673222,未知,安徽,未知
110101673228,未知,北京,未知
110101673321,未知,浙江,未知
110101673422,女,北京,未知
110101673522,女,上海,90后
110101673723,女,上海,90后
110101673827,未知,江苏,未知
110101710127,未知,上海,未知
110101710128,未知,四川,未知
110101710325,未知,上海,80后
110101710423,未知,江苏,未知
110101710721,未知,安徽,未知
110101712429,未知,上海,未知
110101712620,未知,重庆,未知
110101714167,女,上海,未知
110101714169,未知,北京,未知
110101714263,未知,北京,未知
110101714360,男,北京,80后
110101714560,未知,江苏,未知
110101714960,未知,北京,未知
110101716021,未知,北京,未知
110101716822,未知,重庆,未知
110101716828,未知,北京,未知
110101718068,未知,浙江,未知
110101718161,未知,江苏,未知
110101718168,未知,北京,未知
110101718169,未知,辽宁,未知
110101718568,女,浙江,未知
110101718662,女,北京,未知
110101718760,未知,山东,未知
110101733860,未知,北京,未知
110101733867,未知,未知,90后
110101733868,未知,广东,未知
110101735062,未知,上海,未知
110101735669,未知,上海,未知
110101735766,未知,上海,未知
110101771521,未知,北京,未知
110101773023,女,四川,未知
110101773227,男,北京,未知
110101773522,未知,北京,未知
110101810163,未知,北京,未知
110101810167,未知,江苏,未知
110101810168,未知,广东,未知
110101810267,未知,山东,未知
110101810361,男,江苏,90后
110101810363,未知,广东,未知
110101812321,女,上海,70后
110101812427,未知,江苏,未知
110101812824,女,江苏,80后
110101814061,未知,未知,未知
110101814067,未知,上海,未知
110101814767,女,北京,未知
110101814768,未知,北京,未知
110101814860,未知,上海,未知
110101814862,女,未知,70后
110101814865,未知,北京,未知
110101814967,男,福建,未知
110101816027,未知,重庆,未知
110101816220,未知,上海,未知
110101816223,未知,北京,未知
110101816420,未知,上海,未知
110101816529,女,福建,80后
110101818162,女,广东,80后
110101818361,未知,上海,未知
110101818768,未知,四川,未知
110101833065,未知,未知,未知
110101833869,未知,四川,未知
110101835062,未知,四川,未知
110101835266,女,上海,70后
110101835468,未知,江西,未知
110101835564,未知,上海,未知
110101835569,未知,四川,80后
110101835960,男,湖北,90后
110101873123,未知,贵州,未知
110101873126,男,江苏,80后
110101873228,男,北京,未知
110101873321,未知,重庆,未知
110101873624,男,上海,未知
110101912120,未知,上海,未知
110101912129,未知,重庆,未知
110101912226,未知,海南,未知
110101912528,未知,北京,70后
110101912627,未知,广东,未知
110101912629,男,北京,80后
110101912822,未知,上海,未知
110101912825,女,上海,未知
110101912922,男,重庆,70后
110101914063,未知,北京,未知
110101914168,未知,北京,未知
110101914169,未知,上海,未知
110101914361,未知,浙江,未知
110101914561,未知,未知,未知
110101914569,未知,上海,未知
110101914968,未知,上海,未知
110101916723,未知,上海,未知
110101916729,未知,上海,未知
110101916823,未知,上海,未知
110101918161,未知,北京,未知
110101918461,未知,辽宁,未知
110101918564,女,天津,未知
110101918567,未知,北京,未知
110101918860,未知,上海,未知
110101918861,男,北京,80后
110101935266,未知,北京,未知
110101935465,未知,上海,未知
110101971228,未知,浙江,未知
110101973024,男,福建,未知
110101973120,男,浙江,80后
110101973123,未知,浙江,未知
110101973221,女,上海,80后
110101973421,男,广东,未知
110101973429,未知,四川,未知
110101973524,未知,广东,未知
110101973823,未知,浙江,未知
110101973922,未知,辽宁,未知
110102012123,未知,上海,未知
110102012125,未知,广东,未知
110102012329,未知,广东,未知
110102012522,未知,广东,未知
110102012625,男,广东,00后
110102012728,未知,未知,未知
110102012823,未知,江苏,未知
110102016229,未知,河南,未知
110102016429,未知,北京,未知
110102016521,未知,北京,80后
110102016721,女,江西,90后
110102016727,未知,山西,未知
110102016923,女,北京,未知
110102016929,未知,未知,未知
110102018162,未知,陕西,未知
110102018267,女,未知,未知
110102033866,未知,浙江,80后
110102035366,未知,北京,未知
110102035969,未知,上海,未知
110102073220,女,北京,70后
110102073221,未知,广东,未知
110102073423,男,山西,80后
110102073620,未知,江苏,70后
110102112221,未知,广东,未知
110102112321,未知,江苏,未知
110102112420,未知,湖南,未知
110102112423,未知,上海,未知
110102112624,未知,北京,未知
110102112726,未知,广东,未知
110102112920,未知,浙江,未知
110102112925,未知,上海,未知
110102116223,未知,四川,未知
110102116321,未知,上海,未知
110102116327,未知,北京,未知
110102116724,男,北京,未知
110102116926,未知,江苏,未知
110102118363,未知,江苏,未知
110102118660,未知,上海,未知
110102118963,未知,湖南,未知
110102135361,未知,广东,未知
110102171025,未知,上海,未知
110102173122,未知,上海,未知
110102173429,男,北京,80后
