ID,F2.3.1,F2.3.2,F2.3.3,F2.3.4,F2.3.5,F2.3.6,F2.3.7,F2.3.8,F2.3.9,F2.3.10,F2.3.11,F2.3.12,F2.3.13,F2.3.14,F2.3.15,F2.3.16,F2.3.17,F2.3.18,F2.3.19,F2.3.20,F2.3.21,F2.3.22,F2.3.23,F2.3.24
100000008119,18.0,8.0,10.0,8.0,0.0,0.0,0.0,4.0,4.5,0.0,1.5,0.0,36.0,16.0,20.0,16.0,0.0,0.0,0.0,8.0,9.0,0.0,3.0,0.0
100000008425,51.0,26.0,25.0,6.0,2.5,17.0,0.5,15.5,8.0,1.5,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0
100000008995,126.0,66.0,60.0,12.0,4.0,48.0,2.0,48.0,8.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000009017,7.666666666666667,3.3333333333333335,4.333333333333333,2.0,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,11.5,5.0,6.5,3.0,2.0,0.0,0.0,2.0,2.0,1.5,0.5,0.5
100000009463,62.0,26.0,36.0,26.0,0.0,0.0,0.0,22.0,12.0,0.0,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000009611,38.0,11.5,26.5,9.0,1.0,0.5,1.0,20.5,2.5,1.5,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000009773,81.0,33.0,48.0,31.0,2.0,0.0,0.0,24.0,22.0,1.0,1.0,0.0,81.0,33.0,48.0,31.0,2.0,0.0,0.0,24.0,22.0,1.0,1.0,0.0
100000009925,13.333333333333334,4.833333333333333,8.5,3.6666666666666665,0.5,0.6666666666666666,0.0,3.1666666666666665,3.1666666666666665,1.1666666666666667,0.5,0.5,40.0,14.5,25.5,11.0,1.5,2.0,0.0,9.5,9.5,3.5,1.5,1.5
100000010161,22.333333333333332,8.333333333333334,14.0,5.666666666666667,0.0,2.0,0.6666666666666666,7.0,4.333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
100000010199,34.0,18.375,15.625,9.0,4.875,3.375,1.125,8.375,5.125,0.5,1.25,0.375,34.0,18.375,15.625,9.0,4.875,3.375,1.125,8.375,5.125,0.5,1.25,0.375
100000011325,7.142857142857143,0.14285714285714285,7.0,0.14285714285714285,0.0,0.0,0.0,4.142857142857143,2.857142857142857,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000011763,23.0,2.0,21.0,2.0,0.0,0.0,0.0,16.0,3.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
100000011933,49.0,34.0,15.0,33.0,0.0,1.0,0.0,10.0,3.0,0.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,0.0,NA,NA
100000012213,11.0,2.0,9.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000012715,56.0,5.0,51.0,5.0,0.0,0.0,0.0,35.0,15.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000012889,28.0,9.0,19.0,9.0,0.0,0.0,0.0,9.0,6.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000012931,61.0,30.0,31.0,26.0,0.0,4.0,0.0,20.0,7.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
100000012965,25.0,11.0,14.0,6.0,0.0,4.0,1.0,6.0,4.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
100000013381,21.0,10.0,11.0,10.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000013471,26.5,9.5,17.0,9.0,0.5,0.0,0.0,7.5,7.0,1.0,0.5,1.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA
100000013499,61.0,28.0,33.0,28.0,0.0,0.0,0.0,15.0,13.0,0.0,3.0,2.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000013673,8.0,1.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
100000013837,14.0,3.0,11.0,1.5,1.5,0.0,0.0,6.5,3.0,1.5,0.0,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0
100000014029,20.0,8.0,12.0,8.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,20.0,8.0,12.0,8.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0
100000014259,25.5,9.5,16.0,9.5,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000014271,39.0,15.0,24.0,10.0,2.0,1.0,2.0,13.0,7.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000014383,34.5,11.5,23.0,11.5,0.0,0.0,0.0,9.5,11.5,0.0,1.5,0.5,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000014421,15.0,9.0,6.0,8.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.0,1.0,0.3333333333333333,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
100000014679,13.333333333333334,4.0,9.333333333333334,4.0,0.0,0.0,0.0,6.0,2.3333333333333335,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000014973,18.0,6.0,12.0,6.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000014981,12.0,3.3333333333333335,8.666666666666666,3.3333333333333335,0.0,0.0,0.0,4.0,1.3333333333333333,1.0,1.3333333333333333,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000015223,121.0,39.0,82.0,39.0,0.0,0.0,0.0,61.0,20.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000015475,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
100000015969,11.0,2.5,8.5,2.5,0.0,0.0,0.0,3.5,2.25,0.0,2.0,0.75,44.0,10.0,34.0,10.0,0.0,0.0,0.0,14.0,9.0,0.0,8.0,3.0
100000016265,21.4,8.2,13.2,5.0,0.4,2.8,0.0,6.0,3.8,1.2,1.2,1.0,26.75,10.25,16.5,6.25,0.5,3.5,0.0,7.5,4.75,1.5,1.5,1.25
100000016341,36.25,7.0,29.25,7.0,0.0,0.0,0.0,14.25,5.25,0.5,5.25,4.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000016831,11.666666666666666,3.3333333333333335,8.333333333333334,3.3333333333333335,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
100000016861,21.666666666666668,13.0,8.666666666666666,11.666666666666666,1.3333333333333333,0.0,0.0,5.666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA
100000017177,82.0,29.0,53.0,29.0,0.0,0.0,0.0,30.0,10.0,0.0,6.0,7.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000017277,24.7,7.6,17.1,5.9,0.8,0.7,0.2,7.2,8.2,0.4,1.0,0.3,49.4,15.2,34.2,11.8,1.6,1.4,0.4,14.4,16.4,0.8,2.0,0.6
100000017281,27.0,7.0,20.0,7.0,0.0,0.0,0.0,10.0,6.0,0.0,2.0,2.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000017465,37.0,24.0,13.0,6.0,0.0,16.0,2.0,7.0,4.0,2.0,0.0,0.0,37.0,24.0,13.0,6.0,0.0,16.0,2.0,7.0,4.0,2.0,0.0,0.0
100000018097,6.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000018123,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0
100000018259,47.0,33.0,14.0,33.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000018979,98.0,70.0,28.0,15.0,9.0,32.0,14.0,20.0,4.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000019251,35.0,8.0,27.0,8.0,0.0,0.0,0.0,21.0,3.0,0.0,3.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000019487,14.25,3.75,10.5,3.75,0.0,0.0,0.0,5.25,5.25,0.0,0.0,0.0,19.0,5.0,14.0,5.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
100000019489,15.0,3.0,12.0,3.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000019507,57.5,12.0,45.5,12.0,0.0,0.0,0.0,33.0,11.5,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000020061,45.0,15.5,29.5,14.0,0.0,1.5,0.0,24.0,3.0,1.5,0.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA
100000020277,22.0,9.0,13.0,9.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000020301,18.333333333333332,3.3333333333333335,15.0,3.3333333333333335,0.0,0.0,0.0,9.333333333333334,4.0,0.0,1.0,0.6666666666666666,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
100000020459,74.0,36.0,38.0,10.0,6.0,10.0,10.0,20.0,14.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000020811,84.0,29.5,54.5,22.5,0.0,6.5,0.5,44.0,9.5,0.0,0.5,0.5,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA
100000021111,26.666666666666668,14.0,12.666666666666666,5.333333333333333,1.6666666666666667,1.3333333333333333,5.666666666666667,7.333333333333333,2.0,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000021395,10.0,1.0,9.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0
100000021427,23.0,8.0,15.0,8.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000021553,7.0,2.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
100000021759,38.0,7.0,31.0,7.0,0.0,0.0,0.0,16.0,2.0,0.0,13.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000022129,40.5,11.5,29.0,11.5,0.0,0.0,0.0,22.5,5.5,0.0,1.0,0.0,40.5,11.5,29.0,11.5,0.0,0.0,0.0,22.5,5.5,0.0,1.0,0.0
100000022335,20.5,10.5,10.0,3.0,2.5,2.5,2.5,5.5,1.5,1.0,1.0,1.0,41.0,21.0,20.0,6.0,5.0,5.0,5.0,11.0,3.0,2.0,2.0,2.0
100000022417,21.0,5.0,16.0,5.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA
100000022481,50.0,35.0,15.0,35.0,0.0,0.0,0.0,8.0,5.0,0.0,2.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000022499,96.0,51.0,45.0,21.0,0.0,11.0,19.0,29.0,9.0,3.0,2.0,2.0,96.0,51.0,45.0,21.0,0.0,11.0,19.0,29.0,9.0,3.0,2.0,2.0
100000022571,17.333333333333332,8.333333333333334,9.0,6.333333333333333,0.3333333333333333,0.6666666666666666,1.0,3.0,2.6666666666666665,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100000022677,22.0,6.0,16.0,6.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
100000022761,26.0,9.0,17.0,9.0,0.0,0.0,0.0,12.0,4.0,0.0,1.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,0.0
100000022801,9.166666666666666,1.6666666666666667,7.5,1.6666666666666667,0.0,0.0,0.0,4.0,2.6666666666666665,0.0,0.8333333333333334,0.0,13.75,2.5,11.25,2.5,0.0,0.0,0.0,6.0,4.0,0.0,1.25,0.0
100000023051,11.0,3.0,8.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
110020473123,9.0,3.0,6.0,2.5,0.5,0.0,0.0,3.0,2.5,0.5,0.0,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0
110020673328,33.0,11.0,22.0,11.0,0.0,0.0,0.0,8.0,12.0,0.0,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
110020773124,85.0,46.0,39.0,46.0,0.0,0.0,0.0,25.0,10.0,0.0,2.0,2.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,0.0,NA,NA
110100014369,46.666666666666664,27.333333333333332,19.333333333333332,16.666666666666668,2.6666666666666665,5.666666666666667,2.3333333333333335,10.666666666666666,5.333333333333333,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100016324,11.6,7.4,4.2,0.0,2.2,1.6,3.6,1.8,0.6,1.8,0.0,0.0,19.333333333333332,12.333333333333334,7.0,0.0,3.6666666666666665,2.6666666666666665,6.0,3.0,1.0,3.0,0.0,0.0
110100016726,12.0,3.0,9.0,2.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,12.0,3.0,9.0,2.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0
110100016828,51.0,24.0,27.0,11.0,6.0,3.0,4.0,19.0,6.0,2.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0
110100018468,22.5,8.5,14.0,4.5,2.5,0.0,1.5,8.5,2.5,1.0,1.0,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA
110100033067,126.5,73.0,53.5,4.0,3.5,57.5,8.0,29.0,22.0,1.5,0.5,0.5,126.5,73.0,53.5,4.0,3.5,57.5,8.0,29.0,22.0,1.5,0.5,0.5
110100073827,16.0,8.0,8.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0
110100116423,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
110100118669,43.5,19.5,24.0,13.5,2.0,2.5,1.5,11.5,8.0,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100135162,78.0,35.0,43.0,12.0,1.0,0.0,22.0,31.0,6.0,3.0,2.0,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA
110100135562,29.0,6.0,23.0,3.0,2.0,0.0,1.0,14.0,7.0,2.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,0.0
110100171021,47.0,22.0,25.0,3.0,2.0,17.0,0.0,16.0,4.0,1.5,2.5,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA
110100173725,55.0,28.0,27.0,15.0,10.0,3.0,0.0,15.0,8.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA
110100218568,164.0,109.0,55.0,12.0,4.0,88.0,5.0,39.0,11.0,3.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100273229,31.666666666666668,17.833333333333332,13.833333333333334,4.0,3.5,4.0,6.333333333333333,7.333333333333333,4.666666666666667,1.1666666666666667,0.3333333333333333,0.3333333333333333,47.5,26.75,20.75,6.0,5.25,6.0,9.5,11.0,7.0,1.75,0.5,0.5
110100273825,30.0,11.0,19.0,8.0,0.0,3.0,0.0,9.0,6.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
110100318867,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0
110100333066,23.5,13.0,10.5,7.0,0.5,5.5,0.0,5.0,2.0,1.5,1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA
110100333868,19.0,9.0,10.0,2.5,2.0,2.0,2.5,4.5,2.5,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100335665,127.0,66.0,61.0,57.0,1.0,1.0,7.0,37.0,19.0,4.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
110100418369,44.0,17.0,27.0,15.0,0.0,2.0,0.0,16.0,6.0,2.0,2.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
110100473027,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0
110100473524,60.333333333333336,53.333333333333336,7.0,19.666666666666668,3.6666666666666665,29.666666666666668,0.3333333333333333,3.0,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100512625,21.0,8.0,13.0,6.0,0.0,2.0,0.0,4.0,5.0,2.0,1.0,1.0,21.0,8.0,13.0,6.0,0.0,2.0,0.0,4.0,5.0,2.0,1.0,1.0
110100512728,13.0,2.0,11.0,2.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
110100514164,73.0,43.0,30.0,14.0,4.0,8.0,17.0,19.0,7.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100516323,10.0,1.0,9.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
110100516727,19.0,8.0,11.0,4.0,4.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0
110100516927,76.0,37.0,39.0,8.0,7.0,18.0,4.0,23.0,12.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100518264,40.0,22.0,18.0,20.0,0.0,2.0,0.0,9.0,5.0,2.0,1.0,1.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA
110100518265,6.5,0.5,6.0,0.5,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
110100518665,37.0,18.0,19.0,12.0,1.0,3.0,2.0,10.0,5.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100535669,15.333333333333334,5.0,10.333333333333334,5.0,0.0,0.0,0.0,4.666666666666667,2.3333333333333335,1.3333333333333333,1.0,1.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
110100573022,17.0,2.0,15.0,1.0,0.0,0.0,1.0,10.0,4.0,1.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,0.0
110100573527,22.0,13.0,9.0,9.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA
110100614366,10.0,1.0,9.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0
110100618264,5.5,0.75,4.75,0.5,0.25,0.0,0.0,2.25,1.5,1.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0
110100618567,8.666666666666666,2.6666666666666665,6.0,1.0,0.0,1.6666666666666667,0.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.0,0.0,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.0
110100618863,16.0,8.0,8.0,5.0,1.5,1.0,0.5,4.0,2.0,1.0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110100633862,93.75,82.75,11.0,2.25,0.25,79.75,0.5,4.5,2.75,0.75,1.5,1.5,125.0,110.33333333333333,14.666666666666666,3.0,0.3333333333333333,106.33333333333333,0.6666666666666666,6.0,3.6666666666666665,1.0,2.0,2.0
110100635661,21.0,6.0,15.0,6.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,2.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA
110100635766,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0
